"hauljoin","year","start_longitude","end_longitude","start_latitude","end_latitude","vessel","cruise","haul","btemp","area","sponge","coral","pen","lon","lat","bdepth","slope","speed","tmax","BPI","a_bering_sk","a_mud_sk","a_ak_sk","a_aleut_sk","ej_atf","j_atf","a_atf","a_kam","ej_fhs","j_fhs","a_fhs","ej_dover","j_dover","a_dover","ej_rex","j_rex","a_rex","ej_yfs","j_yfs","a_yfs","ej_nrs","j_nrs","a_nrs","a_srs","ej_plaice","j_plaice","a_plaice","ej_sable","j_sable","a_sable","a_yil","a_great","a_bigmouth","ej_pcod","j_pcod","a_pcod","ej_poll","j_poll","a_poll","a_atka","a_ssth","a_rebs_sp","a_rougheye","a_blackspot","ej_pop","j_pop","a_pop","a_silvergray","a_darkrf","a_duskyrf","a_darkblotched","a_splitnose","a_greenstripe","a_widow","a_yellowtail","a_rosethorn","a_quillback","a_blackrf","a_canaryrf","a_northernrf","a_redstripe","a_yelloweye","a_redband","a_harlequin","a_sharpchin","a_shortraker","Zone","Folds"
26565,1993,-133.508,-133.55017,54.5525,54.54367,21,199309,1,5.17890405654907,0.04751672,0,0,0,1304499.02115928,706228.22492664,348.258850097656,0.538322061300278,0.00747724603176406,46.8351272921634,20.8179524739583,0,0,0,0,0,0,32,0,0,0,0,0,29,24,0,0,196,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,"T","A"
26566,1993,-133.66583,-133.70767,54.4875,54.4815,21,199309,2,4.8,0.04321365,0,0,0,1296999.02115928,696728.22492664,231.782928466797,0.366602092981339,0.00799029092360775,62.2631255751795,-4.40613734722137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,18,741,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","I"
26567,1993,-133.90467,-133.9435,54.51417,54.51933,21,199309,3,4.7,0.04406688,0,0,0,1281499.02115928,695228.22492664,250.926784515381,1.3823507130146,0.0170929764024883,40.8847257917824,-101.242074966431,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,481,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,0,"T","Q"
26568,1993,-133.91933,-133.96117,54.6095,54.61517,21,199309,4,4.5,0.05033736,1,0,0,1276999.02115928,705228.22492664,234.334182739258,0.37085830171903,0.0168890667663935,55.2910689129675,-26.3442808787028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,4,38,791,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,75,0,"T","L"
26569,1993,-133.77117,-133.814,54.58367,54.59183,21,199309,5,4.6,0.04969772,1,0,0,1286999.02115928,705228.22492664,243.066050211589,0.112856914599737,0.00874022899295791,55.4645770963727,-4.75501847267151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,6,25,461,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,"T","I"
26571,1993,-134.02383,-134.067,54.70467,54.71217,21,199309,7,5.1,0.04559744,1,0,0,1267499.02115928,713228.22492664,251.70389175415,2.69487297534943,0.0183011480307951,43.7069310199312,-57.2943067550659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,83,514,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,258,0,"T","A"
26572,1993,-133.88267,-133.86967,54.67133,54.698,21,199309,8,5.2,0.04840545,0,0,0,1278999.02115928,714228.22492664,236.998455810547,0.291927391290665,0.00831854887766254,49.6754434507661,5.53061428070068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,43,43,345,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,"T","A"
26573,1993,-133.6215,-133.6505,54.64233,54.63917,21,199309,9,4.6,0.03197808,0,0,0,1294999.02115928,714228.22492664,312.815144856771,0.59223618110021,0.00702782941132971,48.5437514212807,14.6208925247192,0,0,0,0,0,0,0,0,0,0,0,0,21,24,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","S"
26574,1993,-133.35033,-133.4005,54.60417,54.6055,21,199309,10,4.5,0.05156431,0,0,0,1312599.02115928,715628.22492664,337.346673583984,0.243341010808945,0.00940987926198287,50.9340768668364,4.20816035270691,0,0,0,0,0,1,45,0,0,0,0,0,24,29,0,0,108,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","J"
26576,1993,-133.967,-133.97667,54.7595,54.74767,21,199309,12,5.6,0.02321781,1,0,0,1270332.35449261,719894.891593307,211.171915690104,0.221078673998515,0.0115444478821038,43.4475453106836,-0.335831575095654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,0,0,0,899,0,"T","O"
26577,1993,-134.1345,-134.17967,54.79817,54.7995,21,199309,13,4.8,0.04763304,1,0,0,1257199.02115928,721028.22492664,228.522528076172,0.902460190653801,0.0232068447336904,27.570543356054,-94.02841796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,0,324,0,0,0,35,71,175,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,"T","G"
26580,1993,-134.35717,-134.354,54.99867,54.991,21,199309,16,5.1,0.0147117,1,0,0,1238999.02115928,738228.22492664,273.5400390625,3.67656469345093,0.0211288163047473,6.87924359073291,-167.783706665039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,652,0,"T","I"
26581,1993,-134.23533,-134.25983,54.892,54.91717,21,199309,17,4.8,0.04754736,1,0,0,1248499.02115928,730228.22492664,243.917101542155,1.69014693299929,0.021148632500978,19.4511831058224,-104.081553141276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,96,0,424,0,0,0,56,113,126,0,0,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,89,0,"T","L"
26582,1993,-133.33067,-133.33233,54.80117,54.824,21,199309,18,6.3,0.03584781,0,0,0,1307749.02115928,738478.22492664,150.308086395264,0.645408317446709,0.00475722005601409,33.3929621865496,-0.878160327672958,0,0,0,0,0,94,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","K"
26583,1993,-133.35217,-133.34633,54.83933,54.82583,21,199309,19,6.2,0.02243752,0,0,0,1305999.02115928,740228.22492664,147.390960693359,0.721668342749278,0.00455116658345581,40.5633208802016,-2.564972559611,0,0,0,0,2,164,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","I"
26584,1993,-133.65317,-133.65083,54.92333,54.89783,21,199309,20,6.6,0.0393926,0,0,0,1284599.02115928,742828.22492664,110.95334777832,0.0867977201938629,0.00539384517647038,49.6424323039751,-1.76415390968323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","I"
26586,1993,-134.10283,-134.103,54.92767,54.94367,21,199309,22,6,0.0278257,0,0,0,1256332.35449261,736561.558259973,181.319091796875,0.186815972129504,0.014192479618624,30.422156442875,3.47028867403666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,6,0,0,0,"T","B"
26587,1993,-133.91483,-133.935,54.85083,54.85633,21,199309,23,6.4,0.0282861,1,0,0,1269999.02115928,731228.22492664,144.863571166992,0.282614916563034,0.00586516894157061,43.534863725783,-13.298038482666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","T"
26588,1993,-133.752,-133.75383,54.99683,54.9735,21,199309,24,6.8,0.0378578,1,0,0,1276199.02115928,748428.22492664,110.772994995117,0.18001626804471,0.0051931057454111,25.8106018065312,-2.6920107126236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","S"
26590,1993,-133.9405,-133.96267,55.157,55.179,21,199309,26,6.4,0.0361335,0,0,0,1257799.02115928,764028.22492664,140.595529174805,0.406369704008102,0.00486249198567968,22.1819475376269,-2.62807083129883,0,0,0,0,0,9,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","M"
26591,1993,-134.03533,-134.03683,55.34983,55.3585,21,199309,27,6.6,0.01322199,0,0,0,1246999.02115928,782728.22492664,120.509433746338,0.177513986825943,0.00374208289531178,19.0371305341894,-0.717798560857773,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","E"
26592,1993,-134.67617,-134.72017,55.37367,55.3685,21,199309,28,5.1,0.0423522,1,0,0,1205999.02115928,771728.22492664,239.118633270264,2.39859837293625,0.0207028972108474,15.0579142166633,-107.167600631714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,"T","I"
26593,1993,-134.48033,-134.43783,55.52517,55.517,21,199309,29,5.2,0.0440687,0,0,0,1215499.02115928,792228.22492664,196.143184661865,0.14379533007741,0.00687525571317819,16.7324199505177,-1.5232210457325,0,0,0,0,5,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,14,32,0,0,0,0,0,91,142,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","I"
26594,1993,-134.59033,-134.57717,55.5535,55.56417,21,199309,30,4.6,0.02232525,0,0,0,1206999.02115928,794228.22492664,266.228678385417,0.622239728768667,0.00679568837425591,15.1567955476308,19.0602569580078,0,0,0,0,0,0,0,0,0,0,0,0,113,13,3,13,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","I"
26595,1993,-134.78617,-134.7575,55.4925,55.47383,21,199309,31,4.6,0.04293004,0,0,0,1197999.02115928,782728.22492664,283.254333496094,0.669596746563911,0.0155103390918999,11.8051075464473,-1.18215528130531,0,0,0,0,0,0,0,0,0,0,0,0,70,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","F"
26596,1993,-134.88217,-134.90133,55.507,55.49433,21,199309,32,4.5,0.03003944,0,0,0,1190249.02115928,782478.22492664,302.195266723633,0.487845964729786,0.0164181535955675,8.99386495812537,-7.90192949771881,0,0,0,0,0,0,0,0,0,0,0,0,151,28,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","G"
26597,1993,-134.95783,-134.91233,55.5755,55.57317,21,199309,33,4.6,0.04469283,1,0,0,1185499.02115928,789228.22492664,256.853691101074,0.995137572288513,0.0168050613448769,11.4483893195188,-19.9457824230194,0,0,0,0,0,0,0,0,0,0,0,0,73,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,24,19,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","I"
26598,1993,-134.85267,-134.90233,55.57383,55.57333,21,199309,34,4.7,0.0483898,0,0,0,1188799.02115928,790428.22492664,259.075341796875,0.688571894168854,0.016213536133764,12.985755102294,-2.46999530345202,0,0,0,0,0,0,0,0,0,0,0,0,74,4,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,24,25,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"T","T"
